Rajkot,2018,Assault on women with intent to outrage her modesty,10,1.5
Rajkot,2018,Insult to the modesty of women,3,0.5
Rajkot,2018,Sexual harassment and molestation of women,13,0
Ranchi,2018,Assault on women with intent to outrage her modesty,10,1.9
Ranchi,2018,Insult to the modesty of women,4,0.7
Ranchi,2018,Sexual harassment and molestation of women,14,0
Srinagar,2018,Assault on women with intent to outrage her modesty,201,33.7
Srinagar,2018,Insult to the modesty of women,82,13.8
Srinagar,2018,Sexual harassment and molestation of women,283,0
Surat,2018,Assault on women with intent to outrage her modesty,28,1.4
Surat,2018,Insult to the modesty of women,0,0
Surat,2018,Sexual harassment and molestation of women,28,0
Thiruvananthapuram,2018,Assault on women with intent to outrage her modesty,226,25.9
Thiruvananthapuram,2018,Insult to the modesty of women,19,2.2
Thiruvananthapuram,2018,Sexual harassment and molestation of women,245,0
Thrissur,2018,Assault on women with intent to outrage her modesty,111,11.3
Thrissur,2018,Insult to the modesty of women,32,3.3
Thrissur,2018,Sexual harassment and molestation of women,143,0
Tiruchirappalli,2018,Assault on women with intent to outrage her modesty,9,1.7
Tiruchirappalli,2018,Insult to the modesty of women,39,7.6
Tiruchirappalli,2018,Sexual harassment and molestation of women,48,0
Vadodara,2018,Assault on women with intent to outrage her modesty,15,1.7
Vadodara,2018,Insult to the modesty of women,4,0.5
Vadodara,2018,Sexual harassment and molestation of women,19,0
Varanasi,2018,Assault on women with intent to outrage her modesty,9,1.3
Varanasi,2018,Insult to the modesty of women,0,0
Varanasi,2018,Sexual harassment and molestation of women,9,0
Vasai-Virar,2018,Assault on women with intent to outrage her modesty,46,8
Vasai-Virar,2018,Insult to the modesty of women,6,1
Vasai-Virar,2018,Sexual harassment and molestation of women,52,0
Vijayawada,2018,Assault on women with intent to outrage her modesty,223,30.1
Vijayawada,2018,Insult to the modesty of women,418,56.5
Vijayawada,2018,Sexual harassment and molestation of women,641,0
Vishakhapatnam,2018,Assault on women with intent to outrage her modesty,23,2.7
Vishakhapatnam,2018,Insult to the modesty of women,11,1.3
Vishakhapatnam,2018,Sexual harassment and molestation of women,34,0
Agra,2019,Assault on women with intent to outrage her modesty,167,20.8
Agra,2019,Insult to the modesty of women,0,0
Agra,2019,Sexual harassment and molestation of women,167,0
Ahmedabad,2019,Assault on women with intent to outrage her modesty,180,6
Ahmedabad,2019,Insult to the modesty of women,8,0.3
Ahmedabad,2019,Sexual harassment and molestation of women,188,0
Allahabad,2019,Assault on women with intent to outrage her modesty,92,16.4
Allahabad,2019,Insult to the modesty of women,0,0
Allahabad,2019,Sexual harassment and molestation of women,92,0
Amritsar,2019,Assault on women with intent to outrage her modesty,53,9.6
Amritsar,2019,Insult to the modesty of women,4,0.7
Amritsar,2019,Sexual harassment and molestation of women,57,0
Asansol,2019,Assault on women with intent to outrage her modesty,73,12.3
Asansol,2019,Insult to the modesty of women,1,0.2
Asansol,2019,Sexual harassment and molestation of women,74,0
Aurangabad,2019,Assault on women with intent to outrage her modesty,173,30.4
Aurangabad,2019,Insult to the modesty of women,38,6.7
Aurangabad,2019,Sexual harassment and molestation of women,211,0
